YEAR,MAGNITUDE,STATE,CITY
1981,5.2,WA,LANGLEY
1981,5.2,WA,SPANAWAY
1981,5.2,WA,AMBOY
1981,5.2,WA,VASHON ISLAND
1981,5.2,WA,MCCHORD AIR FORCE BASE
1981,5.2,WA,SILVER LAKE
1981,5.2,OR,MILL CITY
1981,5.2,WA,LA CONNER
1981,5.2,WA,LAKEVIEW
1981,5.2,WA,HEISSON
1981,5.2,WA,INDIANOLA
1981,5.2,WA,UNION
1981,5.2,WA,MANCHESTER
1981,5.2,WA,ROY
1981,5.2,WA,HANSVILLE
1981,5.2,WA,SUQUAMISH
1981,5.2,WA,MC KENNA
1981,5.2,WA,PORT GAMBLE
1981,5.2,WA,RETSIL
1981,5.2,WA,FORT LEWIS
1981,5.2,WA,BREMERTON
1981,5.2,WA,POULSBO
1981,5.2,WA,WAUNA
1981,5.2,OR,MILWAUKIE
1981,5.2,OR,LAKE OSWEGO
1981,5.2,WA,PORT LUDLOW
1981,5.2,WA,NORDLAND
1981,5.2,WA,ANDERSON ISLAND
1981,5.2,WA,RAINIER
1981,5.2,WA,SILVERDALE
1981,5.2,OR,CANBY
1981,5.2,WA,HADLOCK
1981,5.2,WA,PORT TOWNSEND
1981,5.2,OR,TUALATIN
1981,5.2,WA,CHIMACUM
1981,5.2,WA,VAUGHN
1980,3.2,CA,CLEARLAKE HIGHLANDS
1980,3.1,HI,HILO
1980,3.1,HI,PUNA
1980,3.6,HI,HILO
1980,3.6,HI,PUNA
1980,3.6,HI,PAPAIKOU
1980,3.6,HI,VOLCANO
1980,3.5,HI,VOLCANO
1980,3.5,HI,HILO
1980,3.7,NV,MINA
1980,3.4,HI,KALAPANA
1980,3.4,HI,HILO
1980,3.2,UT,CEDAR CITY
1980,3.2,UT,KANARRAVILLE
1980,3.6,CA,CAMPO
1980,3.6,CA,PINE VALLEY
1980,3.6,CA,GUATAY
1980,3.6,CA,POTRERO
1980,3.6,CA,TECATE
1980,3.6,CA,ALPINE
1980,3.6,CA,DULZURA
1981,4.6,CA,CAMPO
1981,4.6,CA,SANTA YSABEL
1981,4.6,CA,ALPINE
1981,4.6,CA,SAN DIEGO
1981,4.6,CA,EL CAJON
1981,4.6,CA,LEMON GROVE
1981,4.6,CA,ESCONDIDO
1981,4.6,CA,CALEXICO
1981,4.6,CA,BOULEVARD
1981,4.6,CA,POTRERO
1981,3.7,CA,BEAR VALLEY
1981,4.6,AK,ANCHORAGE
1981,4.3,AK,NENANA
1981,4.3,AK,FAIRBANKS
1981,3.3,HI,VOLCANO
1981,3.9,CA,SEAL BEACH
1981,3.9,CA,HAWTHORNE
1981,3.9,CA,MALIBU
1981,3.9,CA,PASADENA
1981,3.9,CA,HERMOSA BEACH
1981,3.9,CA,REDONDO BEACH
1981,3.9,CA,CENTURY CITY
1981,3.9,CA,SANTA MONICA
1981,3.4,HI,VOLCANO
1981,3.6,CA,HERMOSA BEACH
1981,1.4,VA,ORANGE
1981,5.2,AK,SUTTON
1981,5.2,AK,EAGLE RIVER
1981,5.2,AK,STERLING
1981,5.2,AK,CLAM GULCH
1981,5.2,AK,MOOSE PASS
1981,5.2,AK,COPPER CENTER
1981,5.2,AK,ANCHORAGE
1981,5.2,AK,CHUGIAK
1981,5.2,AK,COOPER LANDING
1981,5.2,AK,SKWENTNA
1981,5.2,AK,KASILOF
1981,5.2,AK,KENAI
1981,5.2,AK,NIKISHKA
1981,5.2,AK,HOMER
1981,5.2,AK,NINILCHIK
1981,5.2,AK,SELDOVIA
1981,5.2,AK,PORT GRAHAM
1981,5.2,AK,LARSEN BAY
1981,5.2,AK,SEWARD
1981,5.2,AK,ELMENDORF AIR FORCE BASE
1981,5.2,AK,WILLOW
1981,5.2,AK,SOLDOTNA
1981,5.2,AK,TYONEK
1981,5.2,AK,ANCHOR POINT
1981,5.2,AK,OUZINKIE
1981,5.2,AK,PEDRO BAY
1981,5.2,AK,EGEGIK
1981,5.2,AK,VALDEZ
1981,5.2,AK,PALMER
1981,5.2,AK,KODIAK
1981,2.2,CT,MOODUS
1981,3.1,CA,TRES PINOS
1981,3.1,CA,HOLLISTER
1981,3,HI,HAWAII VOLCANO OBSERVATORY
1981,3.7,CA,LOS ALAMOS
1981,3.7,CA,SANTA MARIA
1981,4,TN,EATON
1981,4,TN,HUMBOLDT
1981,4,TN,ALAMO
1981,4,TN,CROCKETT MILLS
1981,4,TN,DYERSBURG
1981,4,TN,FRIENDSHIP
1981,4,TN,JACKSON
1981,4,TN,CLIFTON
1981,4,TN,BATH SPRINGS
1981,4,TN,SCOTTS HILL
1981,4,TN,SARDIS
1981,4,TN,MORRIS CHAPEL
1981,4,TN,HENDERSON
1981,4,TN,JACKS CREEK
1981,4,TN,TREZEVANT
1981,4,TN,ATWOOD
1981,4,TN,MILAN
1981,4,TN,MEDINA
1981,4,TN,BRADFORD
1981,4,TN,BEMIS
1981,4,TN,TRENTON
1981,4,TN,GIBSON
1981,4,TN,RUTHERFORD
1981,4,TN,GADSDEN
1981,4,TN,KENTON
1981,4,TN,YORKVILLE
1982,4.7,NY,ATHENS
1982,4.7,NY,PORTER CORNERS
1982,4.7,NY,FORT HUNTER
1982,4.7,NY,LAKE PLACID
1982,4.7,NY,NORTH RIVER
1982,4.7,NY,GLOVERSVILLE
1982,4.7,NY,JOHNSTOWN
1982,4.7,NY,TUPPER LAKE
1982,4.7,NY,RICHFIELD SPRINGS
1982,4.7,ME,LITCHFIELD
1982,4.7,MA,ORLEANS
1982,4.7,ME,KENTS HILL
1982,4.7,ME,LISBON CENTER
1982,4.7,ME,NORTH LEEDS
1982,4.7,MA,SOUTH DENNIS
1982,4.7,ME,LONG ISLAND
1982,4.7,ME,WILTON
1982,4.7,ME,SOUTH PORTLAND
1982,4.7,ME,PORTLAND
1982,4.7,ME,WESTBROOK
1982,4.7,ME,BUCKFIELD
1982,4.7,ME,WELD
1982,4.7,ME,GORHAM
1982,4.7,ME,WEST SUMNER
1982,4.7,ME,KENNEBUNKPORT
1982,4.7,ME,OXFORD
1982,4.7,ME,BUXTON
1982,4.7,ME,STANDISH
1982,4.7,ME,WEST KENNEBUNK
1982,4.7,ME,OGUNQUIT
1982,4.7,ME,WEST BUXTON
1982,4.7,ME,CAPE NEDDICK
1982,4.7,ME,NAPLES
1982,4.7,ME,RUMFORD CENTER
1982,4.7,MA,ROCKPORT
1982,4.7,ME,EAST SEBAGO
1982,4.7,ME,YORK
1982,4.7,NH,NEW CASTLE
1982,4.7,ME,NORTH WATERBORO
1982,4.7,ME,NORTH BERWICK
1982,4.7,ME,ANDOVER
1982,4.7,ME,KITTERY
1982,4.7,NH,RYE
1982,4.7,MA,NORTH MARSHFIELD
1982,4.7,ME,WEST BALDWIN
1982,4.7,ME,SANFORD
1982,4.7,ME,NEWRY
1982,4.7,ME,CORNISH
1982,4.7,ME,LIMERICK
1982,4.7,ME,HIRAM
1982,4.7,MA,PEMBROKE
1982,4.7,NH,NORTH HAMPTON
1982,4.7,ME,EAST PARSONFIELD
1982,4.7,NH,GREENLAND
1982,4.7,ME,NEWFIELD
1982,4.7,ME,CENTER LOVELL
1982,4.7,ME,NORTH SHAPLEIGH
1982,4.7,MA,SOUTH HAMILTON
1982,4.7,MA,BEVERLY
1982,4.7,ME,LOVELL
1982,4.7,ME,KEZAR FALLS
1982,4.7,MA,HINGHAM
1982,4.7,ME,BROWNFIELD
1982,4.7,NH,NEWFIELDS
1982,4.7,NH,KENSINGTON
1982,4.7,MA,AMESBURY
1982,4.7,MA,NEW BEDFORD
1982,4.7,ME,PORTER
1982,4.7,MA,DANVERS
1982,4.7,MA,LYNN
1982,4.7,MA,EAST BRIDGEWATER
1982,4.7,ME,FRYEBURG
1982,4.7,NH,ROCHESTER
1982,4.7,MA,WINTHROP
1982,4.7,MA,BRIDGEWATER
1982,4.7,NH,EAST WAKEFIELD
1982,4.7,MA,REVERE
1982,4.7,MA,QUINCY
1982,4.7,ME,MONTICELLO
1982,4.7,ME,BRIDGEWATER
1982,4.7,ME,BLAINE
1982,4.7,ME,EASTON
1982,4.7,ME,WESTFIELD
1982,4.7,ME,CARIBOU
1982,4.7,ME,STOCKHOLM
1982,4.7,ME,SAINT FRANCIS
1982,4.7,ME,VANCEBORO
1982,4.7,ME,WAITE
1982,4.7,ME,LIMESTONE
1982,4.7,ME,NORTH AMITY
1982,4.7,ME,HOULTON
1982,4.7,ME,NEW LIMERICK
1982,4.7,ME,CROUSEVILLE
1982,4.7,ME,LILLE
1982,4.7,ME,NEW SWEDEN
1982,4.7,ME,GRAND ISLE
1982,4.7,ME,SMYRNA MILLS
1982,4.7,ME,PERHAM
1982,4.7,ME,SHERIDAN
1982,4.7,ME,ASHLAND
1982,4.7,ME,UPPER FRENCHVILLE
1982,4.7,ME,MEDWAY
1982,4.7,ME,SOLDIER POND
1982,4.7,ME,MILLINOCKET
1982,4.7,ME,ROBBINSTON
1982,4.7,ME,CALAIS
1982,4.7,ME,TOPSFIELD
1982,4.7,ME,PRESQUE ISLE
1982,4.7,ME,SAINT DAVID
1982,4.7,ME,SAINT AGATHA
1982,4.7,ME,FORT KENT
1982,2.1,VA,FISHERSVILLE
1982,2.2,CT,MOODUS
1982,2.7,CT,MOODUS
1982,2.9,CT,AMSTON
1982,2.9,CT,MOODUS
1982,2.9,CT,COBALT
1982,2.9,CT,HIGGANUM
1982,4.7,VT,WASHINGTON
1982,4.7,VT,WESTMINSTER STATION
1982,4.7,VT,NORTH MONTPELIER
1982,4.7,VT,EAST BARRE
1982,4.7,VT,BELLOWS FALLS
1982,4.7,VT,WEBSTERVILLE
1982,4.7,VT,SHARON
1982,4.7,VT,WESTMINSTER
1982,4.7,VT,NORTH POMFRET
1982,4.6,CA,SEASIDE
1982,4.6,CA,MOUNT HERMON
1982,4.6,CA,FELTON
1982,4.6,CA,SALINAS
1982,4.6,CA,WATSONVILLE
1982,3,IL,METROPOLIS
1982,4,HI,HILO
1982,4,HI,GLENWOOD
1982,4,HI,PAHALA
1982,3.3,HI,HILO
1982,3.2,CA,SAN BERNARDINO
1982,3.2,CA,COLTON
1982,4.6,AK,KOYUK
1982,4.6,AK,SEWARD PENINSULA
1982,4.6,AK,NOME
1982,3.6,CA,MAMMOTH LAKES
1982,5.4,AK,ADAK ISLAND
1982,4.5,CA,GILROY
1982,4.5,CA,MORGAN HILL
1982,4.5,CA,FREEDOM
1982,4.5,CA,NEW ALMADEN
1982,4.5,CA,LOS GATOS
1982,4.5,CA,CUPERTINO
1982,4.5,CA,SARATOGA
1982,4.5,CA,PALO ALTO
1982,4.5,CA,HOLLISTER
1982,4.5,CA,CHUALAR
1982,4.5,CA,SAN JUAN BAUTISTA
1982,4.5,CA,FREMONT
1982,4.5,CA,AROMAS
1982,4.5,CA,SANTA CLARA
1982,4.5,CA,ALAMEDA
1982,4.5,CA,WATSONVILLE
1982,4.5,CA,CORRALITOS
1982,4.5,CA,SAN JOSE
1982,4.5,CA,APTOS
1982,4.5,CA,EAST SANTA CRUZ
1982,4.5,CA,CARMEL
1982,4.5,CA,MONTEREY
1982,4.5,CA,CAPITOLA
1982,4.5,CA,SOQUEL
1982,4.5,CA,HOLY CITY
1982,4.5,CA,MONTE SERENO
1982,4.5,CA,REDWOOD ESTATES
1982,4.5,CA,SANTA CRUZ
1982,4.5,CA,MOFFETT FIELD NAS
1982,4.5,CA,SARATOGA
1982,4.5,CA,NEWARK
1982,4.5,CA,MOUNT HERMON
1982,4.5,CA,FELTON
1982,4.5,CA,HAYWARD
1982,4.5,CA,UNION CITY
1982,4.5,CA,BEN LOMOND
1982,4.5,CA,BOULDER CREEK
1982,4.5,CA,DAVENPORT
1982,4.5,CA,SAN CARLOS
1982,4.5,CA,LA HONDA
1982,4.5,CA,BERKELEY
1982,4.5,CA,BELMONT
1982,4.5,CA,EL CERRITO
1982,4.5,CA,PESCADERO
1982,4.5,CA,MILLBRAE
1982,4.5,CA,SOUTH SAN FRANCISCO
1982,4.5,CA,HALF MOON BAY
1982,4.5,CA,SAN FRANCISCO
1982,4.5,CA,DALY CITY
1982,4.5,CA,FAIRFAX
1982,4.5,CA,SALINAS
1982,4.5,CA,CARMEL VALLEY
1982,4.5,CA,CASTROVILLE
1982,4.5,CA,SUNOL
1982,4.5,CA,SUNNYVALE
1982,4.5,CA,MOUNTAIN VIEW
1982,4.5,CA,MARTINEZ
1982,4.5,CA,SAN MATEO
1982,4.5,CA,RICHMOND
1982,4.5,CA,SAN RAFAEL
1982,4.5,CA,STINSON BEACH
1982,4.5,CA,TRES PINOS
1982,4.5,CA,SEASIDE
1982,4.5,CA,SAN LEANDRO
1982,4.5,CA,PINOLE
1982,4.5,CA,SAUSALITO
1982,4.5,CA,SAN ANSELMO
1982,4.5,CA,NOVATO
1982,2.9,CA,LIVERMORE
1982,2.9,CA,PLEASANTON
1982,2.9,CA,SAN LEANDRO
1982,3.6,HI,KONA
1982,3,HI,KONA
1982,3.4,CA,BORREGO SPRINGS
1982,3.3,CA,LIVERMORE
1982,3.3,CA,DUBLIN
1982,3.3,CA,SAN FRANCISCO BAY
1982,3.6,CA,MAMMOTH LAKES
1982,5.1,AK,ADAK ISLAND
1982,3.2,AK,PALMER
1982,3.2,AK,WASILLA
1982,5.3,AK,UNALASKA
1982,3.4,CA,MAMMOTH LAKES
1982,3.9,CA,SAN JOSE
1982,3.9,CA,CALAVERAS RESVR DAM
1982,3.9,CA,SANTA CLARA
1982,3.9,CA,MILPITAS
1982,3.9,CA,SUNNYVALE
1982,3.9,CA,MOUNTAIN VIEW
1982,3.9,CA,BOULDER CREEK
1982,3.9,CA,SAN RAFAEL
1982,3.9,CA,FREMONT
1981,4,MS,CORINTH
1981,4,TN,OBION
1981,4,TN,TRIMBLE
1981,4,TN,MAURY CITY
1981,4,TN,TIGRETT
1981,4,TN,NEWBERN
1981,4,TN,HALLS
1981,4,TN,BOGOTA
1981,4,TN,DYER
1981,4,TN,WYNNBURG
1981,4,TN,SPRING CREEK
1981,4,TN,SUGAR TREE
1981,4,TN,DECATURVILLE
1981,4,TN,SAVANNAH
1981,4,TN,CEDAR GROVE
1981,4,TN,REAGAN
1981,4,TN,HURON
1981,4,TN,OAKFIELD
1981,4,TN,MARTIN
